Merk;Type;Omschrijving;Component code;prijs verkoop;Artikelnummer Eriks;Artikelnummer TU;Co2 eq kg;Gewicht [kg];Gietijzer;Metalen;Fossiele materialen;Aluminium;Staal;RVS;Koper;Brons;Keramiek;Rubber;polymeren en compositen;Injectie gevormde magneet;elektra;
Siemens;VVG44.15-0,4;2-wegklep (kvs 0,4) + SQS65 actuator;RA-01-15-0,4-ST; € 790,91 ;n.v.t.;8911537;2,98;0,65;5,00%;13,00%;0,00%;0,00%;0,00%;3,30%;11,40%;63,70%;0,00%;0,50%;2,60%;0,50%;0,00%;
Siemens;VVG44.15-0,63;2-wegklep (kvs 0,63) + SQS65 actuator;RA-01-15-0,63-ST; € 790,91 ;n.v.t.;8908688;2,98;0,65;5,00%;13,00%;0,00%;0,00%;0,00%;3,30%;11,40%;63,70%;0,00%;0,50%;2,60%;0,50%;0,00%;
Siemens;VVG44.15-1;2-wegklep (kvs 1) + SQS65 actuator;RA-01-15-1-ST; € 790,91 ;n.v.t.;8908702;2,98;0,65;5,00%;13,00%;0,00%;0,00%;0,00%;3,30%;11,40%;63,70%;0,00%;0,50%;2,60%;0,50%;0,00%;
Siemens;VVG44.15-1,6;2-wegklep (kvs 1,6) + SQS65 actuator;RA-01-15-1,6-ST; € 790,91 ;n.v.t.;8908702;2,98;0,67;5,00%;13,00%;0,00%;0,00%;0,00%;3,30%;11,40%;63,70%;0,00%;0,50%;2,60%;0,50%;0,00%;
Siemens;VVG44.15-2,5;2-wegklep (kvs 2,5) + SQS65 actuator;RA-01-15-2,5-ST; € 790,91 ;n.v.t.;8908709;2,98;0,67;5,00%;13,00%;0,00%;0,00%;0,00%;3,30%;11,40%;63,70%;0,00%;0,50%;2,60%;0,50%;0,00%;
Siemens;VVG44.20-6,3;2-wegklep (kvs 6,3) + SQS65 actuator;RA-01-20-6,3-ST; € 802,99 ;n.v.t.;8908723;2,98;1;5,00%;13,00%;0,00%;0,00%;0,00%;3,90%;12,20%;63,40%;0,00%;0,50%;1,70%;0,30%;0,00%;
Siemens;VVG44.25-10;2-wegklep (kvs 10) + SQS65 actuator;RA-01-25-10-ST; € 833,18 ;n.v.t.;8908730;2,99;1,48;5,00%;13,00%;0,00%;0,00%;0,00%;4,70%;12,70%;62,90%;0,00%;0,50%;1,00%;0,20%;0,00%;
Siemens;VVG44.32-16;2-wegklep (kvs 16) + SQS65 actuator;RA-01-32-16-ST; € 911,66 ;n.v.t.;8908737;2,99;1,95;5,00%;13,00%;0,00%;0,00%;0,00%;5,60%;13,00%;62,10%;0,00%;0,50%;0,70%;0,10%;0,00%;
Siemens;VVG44.40-25;2-wegklep (kvs 25) + SQS65 actuator;RA-01-40-25-ST; € 996,19 ;n.v.t.;8908744;2,99;2,75;5,00%;13,00%;0,00%;0,00%;0,00%;6,50%;13,10%;61,40%;0,00%;0,40%;0,50%;0,10%;0,00%;
Tour & Anderson;Ta-Nano DN10;2-wegklep + TA-TRI H actuator;RA-01-10-LX; € 495,08 ;n.v.t.;6426698;3;0,5;10,00%;15,00%;0,00%;0,00%;0,00%;5,00%;0,00%;64,90%;0,00%;1,00%;4,00%;0,10%;0,00%;
Tour & Anderson;Ta-Nano DN15 LF;2-wegklep + TA-TRI H actuator;RA-01-15-LF-LX; € 495,08 ;n.v.t.;6426691;3;0,6;10,00%;15,00%;0,00%;0,00%;0,00%;5,00%;0,00%;64,90%;0,00%;1,00%;4,00%;0,10%;0,00%;
Tour & Anderson;Ta-Nano DN15 ;2-wegklep + TA-TRI H actuator;RA-01-15-LX; € 495,08 ;n.v.t.;6426705;3;0,6;10,00%;15,00%;0,00%;0,00%;0,00%;5,00%;0,00%;64,90%;0,00%;1,00%;4,00%;0,10%;0,00%;
Tour & Anderson;Ta-Nano DN15 HF;2-wegklep + TA-TRI H actuator;RA-01-15-HF-LX; € 495,08 ;n.v.t.;6438731;3;0,6;10,00%;15,00%;0,00%;0,00%;0,00%;5,00%;0,00%;64,90%;0,00%;1,00%;4,00%;0,10%;0,00%;
Tour & Anderson;Ta-Nano DN20 ;2-wegklep + TA-TRI H actuator;RA-01-20-LX; € 495,08 ;n.v.t.;6426719;3;0,9;10,00%;15,00%;0,00%;0,00%;0,00%;5,00%;0,00%;64,90%;0,00%;1,00%;4,00%;0,10%;0,00%;
Tour & Anderson;Ta-Nano DN20 HF;2-wegklep + TA-TRI H actuator;RA-01-20-HF-LX; € 495,08 ;n.v.t.;6426733;3;0,9;10,00%;15,00%;0,00%;0,00%;0,00%;5,00%;0,00%;64,90%;0,00%;1,00%;4,00%;0,10%;0,00%;
Tour & Anderson;Ta-Modulator DN10;2-wegklep + TA-TRI H actuator;RA-01-10-AL; € 495,08 ;n.v.t.;4272497;3,1;0,8;8,00%;18,00%;0,00%;0,00%;0,00%;8,00%;0,00%;59,90%;0,00%;1,00%;5,00%;0,10%;0,00%;
Tour & Anderson;Ta-Modulator DN15 LF;2-wegklep + TA-TRI H actuator;RA-01-15-LF-AL; € 495,08 ;n.v.t.;4272546;3,1;1;8,00%;18,00%;0,00%;0,00%;0,00%;8,00%;0,00%;59,90%;0,00%;1,00%;5,00%;0,10%;0,00%;
Tour & Anderson;Ta-Modulator DN15;2-wegklep + TA-TRI H actuator;RA-01-15-AL; € 495,08 ;n.v.t.;9708492;3,1;1;8,00%;18,00%;0,00%;0,00%;0,00%;8,00%;0,00%;59,90%;0,00%;1,00%;5,00%;0,10%;0,00%;
